postcode,huisnummer,huisletter,toevoeging,adres,gemeente,omschrijving,bron_url
2511AS,2,A,,"Venestraat 2A, 2511AS 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister van Venestraat 2A,http://www.monumentenzorgdenhaag.nl/monumenten/venestraat-2a
2511BE,52,,,"Spuistraat 52, 2511BE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Spuistraat 52,http://www.monumentenzorgdenhaag.nl/monumenten/spuistraat-52
2511BA,49,,,"Vlamingstraat 49, 2511BA 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 49,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-49
2511AX,26,,,"Schoolstraat 26, 2511AX 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister van Schoolstraat 26,http://www.monumentenzorgdenhaag.nl/monumenten/schoolstraat-26-tm-26d
2584XK,30,,,"Willem Beukelszoonplein 30, 2584XK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Willem Beukelszoonplein 8 t/m 30,http://www.monumentenzorgdenhaag.nl/monumenten/willem-beukelszoonplein-8-tm-30
2512BD,31,,,"Dunne Bierkade 31, 2512BD 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Dunne Bierkade 30/31,http://www.monumentenzorgdenhaag.nl/monumenten/dunne-bierkade-29-30-en-31
2512GW,137,,,"Westeinde 137, 2512GW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Westeinde 137,http://www.monumentenzorgdenhaag.nl/monumenten/westeinde-137
2515LR,120,,,"Groenewegje 120, 2515LR 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Groenewegje 119/120,http://www.monumentenzorgdenhaag.nl/monumenten/groenewegje-119-en-120
2584XK,30,,,"Willem Beukelszoonplein 30, 2584XK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Willem Beukelszoonplein 8 t/m 30,http://www.monumentenzorgdenhaag.nl/monumenten/willem-beukelszoonplein-8-tm-30
2585EG,41,,,"Bankastraat 41, 2585EG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 41,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-97
2514CN,42,,,"Denneweg 42, 2514CN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Denneweg 38,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-34-tm-42
2511EB,1,,,"Korte Poten 1, 2511EB 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 21/Koediefstraat 1,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-21-koediefstraat-1
2511BE,48,,,"Spuistraat 48, 2511BE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Spuistraat 48,http://www.monumentenzorgdenhaag.nl/monumenten/spuistraat-48
2511AW,13,A,,"Schoolstraat 13A, 2511AW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Schoolstraat 13/13A,http://www.monumentenzorgdenhaag.nl/monumenten/schoolstraat-13-en-13a
