postcode,huisnummer,huisletter,toevoeging,adres,gemeente,omschrijving,bron_url
2264BA,1,,,"Koningin Julianaweg 1, 2264BA Leidschendam",Leidschendam-Voorburg,grenspaal,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2264BA,1,,,"Koningin Julianaweg 1, 2264BA Leidschendam",Leidschendam-Voorburg,grenspaal,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2264BM,36,,,"Koningin Wilhelminalaan 36, 2264BM Leidschendam",Leidschendam-Voorburg,"woning, woningbouwcomplex Wilhelminalaan, Prinses Beatrixlaan en Raadhuislaan",https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2266HZ,4,,,"Ondermeerweg 4, 2266HZ Leidschendam",Leidschendam-Voorburg,"woning, gemaal (Ondermeerweg 4 en 6)",https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2266HZ,10,A,,"Ondermeerweg 10A, 2266HZ Leidschendam",Leidschendam-Voorburg,grenspaal,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2266GM,21,B,,"Oostvlietweg 21B, 2266GM Leidschendam",Leidschendam-Voorburg,kilometerpaal,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2266GM,28,,,"Oostvlietweg 28, 2266GM Leidschendam",Leidschendam-Voorburg,kilometerpaal,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2266GN,35,,,"Oostvlietweg 35, 2266GN Leidschendam",Leidschendam-Voorburg,kilometerpaal,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2266BL,6,,,"Oostvlietweg 6, 2266BL Leidschendam",Leidschendam-Voorburg,kilometerpaa l,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2264SE,29,,,"Veurse Achterweg 29, 2264SE Leidschendam",Leidschendam-Voorburg,hek,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2264EC,97,,,"Veursestraatweg 97, 2264EC Leidschendam",Leidschendam-Voorburg,twee hekpalen,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Leidschendam
2271CN,10,,,"Franse Kerkstraat 10, 2271CN Voorburg",Leidschendam-Voorburg,Woning/winkel,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CG,6,,,"Herenstraat 6, 2271CG Voorburg",Leidschendam-Voorburg,"Onderwijzerswoning, bibliotheek, bank, bioscoop Forum",https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,9,,,"Herenstraat 9, 2271CA Voorburg",Leidschendam-Voorburg,Winkel/woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,11,,,"Herenstraat 11, 2271CA Voorburg",Leidschendam-Voorburg,Winkel/woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,15,,,"Herenstraat 15, 2271CA Voorburg",Leidschendam-Voorburg,Woning,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,17,,,"Herenstraat 17, 2271CA Voorburg",Leidschendam-Voorburg,Woning,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CG,18,,,"Herenstraat 18, 2271CG Voorburg",Leidschendam-Voorburg,Woning,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CG,20,,,"Herenstraat 20, 2271CG Voorburg",Leidschendam-Voorburg,Woning,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CH,24,,,"Herenstraat 24, 2271CH Voorburg",Leidschendam-Voorburg,Woning,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CH,26,,,"Herenstraat 26, 2271CH Voorburg",Leidschendam-Voorburg,Woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,31,,,"Herenstraat 31, 2271CA Voorburg",Leidschendam-Voorburg,Woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,33,,,"Herenstraat 33, 2271CA Voorburg",Leidschendam-Voorburg,Woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CH,34,,,"Herenstraat 34, 2271CH Voorburg",Leidschendam-Voorburg,Winkel/woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CH,36,,,"Herenstraat 36, 2271CH Voorburg",Leidschendam-Voorburg,Woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,37,,,"Herenstraat 37, 2271CA Voorburg",Leidschendam-Voorburg,Voormalige smidse van hoefsmid,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,37,A,,"Herenstraat 37A, 2271CA Voorburg",Leidschendam-Voorburg,Schuur,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,41,,,"Herenstraat 41, 2271CA Voorburg",Leidschendam-Voorburg,Woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CA,45,,,"Herenstraat 45, 2271CA Voorburg",Leidschendam-Voorburg,Winkel/woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CH,48,,,"Herenstraat 48, 2271CH Voorburg",Leidschendam-Voorburg,Woning,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CJ,50,,,"Herenstraat 50, 2271CJ Voorburg",Leidschendam-Voorburg,O.a. postkantoor in 1903,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CB,53,,,"Herenstraat 53, 2271CB Voorburg",Leidschendam-Voorburg,Woning,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
2271CJ,56,,,"Herenstraat 56, 2271CJ Voorburg",Leidschendam-Voorburg,Winkel/woonhuis,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Voorburg
