postcode,huisnummer,huisletter,toevoeging,adres,gemeente,omschrijving,bron_url
2289AL,40,,,"Delftweg 40, 2289AL Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2289CC,2,,,"Einsteinlaan 2, 2289CC Rijswijk",Rijswijk,Plaspoelpolder-gebouw (kantoor),https://www.rijswijk.nl/monumenten
2281CL,22,,,"Geestbrugweg 22, 2281CL Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281AA,11,,,"Haagweg 11, 2281AA Rijswijk",Rijswijk,Hofje van Londen,https://www.rijswijk.nl/monumenten
2281AA,13,,,"Haagweg 13, 2281AA Rijswijk",Rijswijk,Hofje van Londen,https://www.rijswijk.nl/monumenten
2282BV,38,,,"Herenstraat 38, 2282BV Rijswijk",Rijswijk,Voorm. burgemeesterswoning,https://www.rijswijk.nl/monumenten
2282BV,40,,,"Herenstraat 40, 2282BV Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282BV,42,,,"Herenstraat 42, 2282BV Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282BR,51,,,"Herenstraat 51, 2282BR Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282BS,79,,,"Herenstraat 79, 2282BS Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282BS,83,,,"Herenstraat 83, 2282BS Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282BS,91,,,"Herenstraat 91, 2282BS Rijswijk",Rijswijk,Pakhuis Meestoof,https://www.rijswijk.nl/monumenten
2282BS,95,,,"Herenstraat 95, 2282BS Rijswijk",Rijswijk,Voorm. gemeentehuis,https://www.rijswijk.nl/monumenten
2282BS,97,,,"Herenstraat 97, 2282BS Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282BS,101,,,"Herenstraat 101, 2282BS Rijswijk",Rijswijk,Woonhuis met winkel,https://www.rijswijk.nl/monumenten
2282BS,103,,,"Herenstraat 103, 2282BS Rijswijk",Rijswijk,Woonhuis met winkel,https://www.rijswijk.nl/monumenten
2282NW,4,,,"Julialaantje 4, 2282NW Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282NW,6,,,"Julialaantje 6, 2282NW Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282CK,2,,,"Kerklaan 2, 2282CK Rijswijk",Rijswijk,Ned. Herv. Kerk,https://www.rijswijk.nl/monumenten
2282EX,2,,,"Lindelaan 2, 2282EX Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281GA,15,,,"Oranjelaan 15, 2281GA Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281GA,31,,,"Oranjelaan 31, 2281GA Rijswijk",Rijswijk,Villa,https://www.rijswijk.nl/monumenten
2281GA,39,a,,"Oranjelaan 39a, 2281GA Rijswijk",Rijswijk,Villa,https://www.rijswijk.nl/monumenten
2289CZ,2,a,,"Park Hoornwijck 2a, 2289CZ Rijswijk",Rijswijk,Portiekflats,https://www.rijswijk.nl/monumenten
6241GL,1,,,"Prins Willem Alexanderlaan 1, 6241GL Bunde",Rijswijk,Voorm. raadhuis,https://www.rijswijk.nl/monumenten
2282RD,2,a,,"Schoolstraat 2a, 2282RD Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282RD,8,,,"Schoolstraat 8, 2282RD Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2288EA,275,,,"Sir Winston Churchilllaan 275-F001, 2288EA Rijswijk",Rijswijk,RK Kerk,https://www.rijswijk.nl/monumenten
2288AA,2,a,,"Steenplaetsstraat 2a, 2288AA Rijswijk",Rijswijk,Pakhuis,https://www.rijswijk.nl/monumenten
2288AA,6,,,"Steenplaetsstraat 6, 2288AA Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2516AZ,1,,,"Trekvlietplein 1, 2516AZ 's-Gravenhage",Rijswijk,Voorm. station Hoornbrug,https://www.rijswijk.nl/monumenten
2282SJ,32,a,,"van Vredenburchweg 32a, 2282SJ Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282RD,4,,,"Schoolstraat 4, 2282RD Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2282RD,6,,,"Schoolstraat 6, 2282RD Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281CX,30,a,,"Geestbrugkade 30a, 2281CX Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281CX,32,,,"Geestbrugkade 32, 2281CX Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281CX,36,a,,"Geestbrugkade 36a, 2281CX Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281CX,38,,,"Geestbrugkade 38, 2281CX Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281CX,40,,,"Geestbrugkade 40, 2281CX Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281CX,42,,,"Geestbrugkade 42, 2281CX Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
2281CX,44,,,"Geestbrugkade 44, 2281CX Rijswijk",Rijswijk,Woonhuis,https://www.rijswijk.nl/monumenten
